key,en_US,zh_TW,zh_CN,vi_VN,ja_JP,id_ID
title,TT Application,TT 應用程式,TT 应用程式,Ứng dụng TT,TTアプリケーション,Pusat Aplikasi
app_center,Applications,應用中心,应用中心,Ứng dụng,アプリケーション,Pusat Aplikasi
sort,Sort,排序,排序,Sắp xếp,分類する,Urutan
video,Video,視頻,视频,Video,ビデオ,Video
popularity,Popularity,人氣,人气,Sự phổ biến,人気,Popularitas
recommended,Recommended,熱門推薦,热门推荐,Đề xuất phổ biến,おすすめです。,Rekomendasi Populer
everbody_playing,Playing,大家都在玩,大家都在玩,Mọi người đều đang chơi,遊んでいる,Semua orang sedang bermain
filter,Filter,篩選,筛选,Lọc,フィルター,Filter
long_video,Videos,長視頻,长视频,Video dài,ビデオ,Videos
short_video,Reels,短視頻,短视频,Video ngắn,リールズ,Short
member_login,Login,會員登入,会员登入,Đăng nhập thành viên,ログイン,Login Anggota
account_password_login,Login,帳號密碼登入,帐号密码登入,Đăng nhập tài khoản và mật khẩu,ログイン,Login dengan akun dan kata sandi
account,Account,帳號,帐号,Tài khoản,アカウント,Akun
please_enter_your_account_number,Please enter your account number,請輸入帳號,请输入帐号,Vui lòng nhập tài khoản,アカウント番号を入力してください。,Silakan masukkan akun
password,Password,密碼,密码,Mật khẩu,パスワード,Kata sandi
please_enter_your_password,Please enter your password,請輸入密碼,请输入密码,Vui lòng nhập mật khẩu,パスワードを入力してください。,Silakan masukkan kata sandi
no_account_yet,No account yet.,還沒有帳號,还没有帐号,Chưa có tài khoản,まだアカウントがありません。,Tidak ada akun
login_with_phone_number,Login with phone number,手機號登入,手机号登入,Đăng nhập bằng số điện thoại di động,電話番号でログイン,Masuk dengan nomor ponsel
newest,Newest,最新,最新,Mới nhất,最新の,Terbaru
hottest,Hottest,最熱,最热,Rất nóng,最も暑い,Terpopuler
register,Register,會員註冊,会员注册,Đăng ký thành viên,登録する,Daftar
account_password_registration,Account Password Registration,帳號密碼註冊,帐号密码注册,Đăng ký tài khoản và mật khẩu,アカウントパスワード登録,Pendaftaran akun dan kata sandi
verify_password,Verify Password,驗證密碼,验证密码,Xác minh mật khẩu,パスワードを確認してください。,Verifikasi kata sandi
please_enter_the_verification_password,Please enter the verification password,請輸入驗證密碼,请输入验证密码,Vui lòng nhập mật khẩu xác nhận,認証パスワードを入力してください。,Silakan masukkan kata sandi verifikasi
search_for,Search,搜索,搜索,Tìm kiếm,検索,Cari
promotional_card_has_been_successfully_saved,Successfully saved.,已成功保存推廣卡,已成功保存推广卡,Đã lưu thành công thẻ quảng cáo,プロモーションカードが正常に保存されました。,Kartu promosi telah berhasil disimpan
promotional_share,Promotional Share,推廣分享,推广分享,Phổ biến chia sẻ,プロモーションシェア,Promosi berbagi
promotion_record,Promotion Record,推廣紀錄,推广纪录,Ghi chép quảng bá,昇進記録,Catatan Promosi
count_person_promotion,people promote,人推廣,人推广,Mọi người quảng bá,人々が宣伝します,Orang-orang mempromosikan
promoted,Promoted,已推廣,已推广,Đã được quảng bá,昇進しました。,Sudah dipromosikan
invitation_code,Invitation Code,邀請碼,邀请码,Mã mời,招待コード,Kode undangan
copy_and_share,Copy & Share,複製分享,复制分享,Chia sẻ sao chép,コピー＆シェア,Salin berbagi
successfully_copied,Successfully copied.,複製成功,复制成功,Sao chép thành công,正常にコピーしました。,Berhasil disalin
screen_short_share,Screen Shots Share,截圖分享,截图分享,Chia sẻ ảnh chụp màn hình,スクリーンショット共有,Bagikan tangkapan layar
same_tag,Same Tag,同標籤,同标签,Cùng nhãn hiệu,同じタグ,Dengan tag
no_related_video_and_guess_you_like,"No any related videos, Guess you'll like..,",找不到相關影片，猜您也會喜歡,找不到相关影片，猜您也会喜欢,Không có video liên quan,関連する動画はありません,Tidak ada video terkait
download_now,Download Now,立刻下載,立刻下载,Tải xuống ngay,ダウンロードする,Unduh sekarang
id_card,ID Card,身份卡,身份卡,Thẻ nhận dạng,IDカード,Kartu Identitas
online_customer_service,Online Customer Service,在線客服,在线客服,Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服,オンラインカスタマーサービス,Layanan Pelanggan Online
more,More,更多,更多,Thêm nữa,もっと,Lebih banyak
discover,Discover,探索更多內容,探索更多内容,Khám phá nhiều nội dung hơn,発見する,Jelajahi konten lebih lanjut
input_abnormal,Input Abnormal,輸入異常,输入异常,Lỗi nhập,入力異常,Masukan tidak normal
please_reload,Please reload,請重新加載,请重新加载,Vui lòng tải lại,リロードしてください。,Silakan muat ulang
actor,Actor,演員,演员,Diễn viên,俳優,Aktor
browse_history,History,我的足跡,我的足迹,Lịch sử,歴史,Sejarah
like_playlist,Favorites,我的喜歡,我的喜欢,yêu thích,お気に入り,Favorit
collect_playlist,Collection,我的收藏,我的收藏,Bộ sưu tập,コレクション,Koleksi
count_likes,Likes,個讚數,个赞数,Số lượt thích,いいね,Jumlah suka
member_id,Member ID,用戶ID,用户ID,ID người dùng,メンバーID,ID Pengguna
member_center,Member center,會員中心,会员中心,Trung tâm thành viên,メンバーセンター,Pusat Keanggotaan
search_record,Search record,搜索紀錄,搜索纪录,Lịch sử tìm kiếm,検索記録,Catatan pencarian
search_recommendation,Search Recommendation,搜索推薦,搜索推荐,Tìm kiếm đề xuất,検索推奨,Rekomendasi pencarian
popular_recommendation,Popular Recommendation,熱門推薦,热门推荐,Đề xuất phổ biến,人気のおすすめ,Rekomendasi Populer
coming_soon,Coming soon,精彩即將呈現,精彩即将呈现,Sắp tới sẽ có những điều thú vị,近日公開,Keseruan segera hadir
upgrade_to_vip_for_unlimited_movie,Open VIP for unlimited movie,開通 VIP 無限看片,开通 VIP 无限看片,Mở VIP để xem phim vô hạn,無制限の映画鑑賞のためのVIPを開放してください。,Buka VIP untuk film tanpa batas
upgrade_now,Upgrade Now,立即升級,立即升级,Nâng cấp ngay,アップグレードする,Tingkatkan sekarang
not_enough,Not enough,看不過癮,看不过瘾,Không thể thỏa mãn được,足りません。,Tidak puas melihatnya
unlock_now,Unlock Now,立即解鎖,立即解锁,Mở khóa ngay lập tức,今すぐ解除,Buka kunci sekarang
screen_is_locked,Screen is locked,螢幕已鎖定,萤幕已锁定,Màn hình đã bị khóa,画面がロックされています。,Layar telah terkunci
screen_is_unlocked,Screen is unlocked,螢幕已解鎖,萤幕已解锁,Màn hình đã được mở khóa,画面がロック解除されました。,Layar telah terbuka kunci
same_actor,Same actor,同演員,同演员,Cùng diễn viên,同じ俳優。,Aktor yang sama
highlights,Highlights,選集,选集,Tuyển tập,ハイライト,Kompilasi
insufficient_gold_balance,Insufficient balance,金幣餘額不足,金币余额不足,Số dư không đủ,残高不足,Saldo tidak mencukupi
purchase_failed,Purchase Failed,購買失敗,购买失败,Mua hàng thất bại,購入に失敗しました。,Pembelian gagal
go_to_top_up_now_for_full_exp,Go to Top Up now to get the full experience!,請立即前往充值已獲得最完整的體驗,请立即前往充值已获得最完整的体验,Vui lòng điền ngay để nạp tiền để có trải nghiệm tốt nhất,フルエクスペリエンスを得るために、今すぐトップアップへ行ってください！,Pergi ke Top Up sekarang
go_to_top_up,Go to Top Up,前往充值,前往充值,Đi đến nạp tiền,チャージに行く,Pergi untuk isi ulang
confirm,Confirm,確認,确认,Xác nhận,確認してください。,Konfirmasi
cancel,Cancel,取消,取消,Hủy bỏ,キャンセル,Batal
press_like_it_if_you_like_it,Favorites,喜歡就點讚,喜欢就点赞,yêu thích,お気に入り,Favorit
add_to_favorites,Collection,添加到收藏,添加到收藏,Bộ sưu tập,コレクション,Koleksi
this_movie_is_available_for_purchase,This movie is available for purchase.,試看結束，此影片需付費購買,试看结束，此影片需付费购买,"Sau khi xem xong, bạn cần phải mua để xem tiếp video này",試用期間終了。この映画は購入可能です。,Video ini memerlukan pembelian untuk diakses
price,Price,價格,价格,Giá cả,価格,Harga
coins,Coins,金幣,金币,Tiền vàng,コイン,Koin Emas
your_current_coins,Your current coins,您目前擁有的金幣,您目前拥有的金币,Số tiền xu bạn hiện đang sở hữu,あなたの現在のコイン。,Anda saat ini memiliki koin emas
pay_to_watch,Unlock Now,付費觀看,付费观看,Mở khóa ngay,今すぐ解除する,Buka sekarang
end_of_Trial_upgrade_to_full_version,"End of Trial, Upgrade to Full Version",試看結束，升級觀看完整版,试看结束，升级观看完整版,"Khi kết thúc thử nghiệm, hãy nâng cấp để xem phiên bản đầy đủ",試用期間の終了、完全版へのアップグレード。,Tingkatkan untuk menonton versi lengkap
length_of_film,Length,片長,片长,Thời lượng phim,長さ,Durasi film
unlocked_for_full_playback,View after unlocking,解鎖後可完整播放,解锁后可完整播放,Xem sau khi mở khóa,解除後に視聴する,Lihat setelah membuka kunci
upgrade_now_for_unlock,Unlock Now,立即升級解鎖,立即升级解锁,Mở khóa ngay,今すぐ解除する,Buka sekarang
count_gold_coins_to_unlock,coins to unlock,金幣解鎖,金币解锁,Mở khóa bằng vàng,解除するためのコイン,Koin Membuka Kunci
enter_now,Enter,立即進入,立即进入,Nhập,入る ,Masuk
count_down,wait..,倒數,倒数,Đếm ngược,待って,Hitung mundur
forgot_password,Forgot password,忘記密碼,忘记密码,Quên mật khẩu,パスワードを忘れた,Lupa kata sandi
