str,en_US,zh_TW,zn_CN,vi_VN,ja_JP
title,TT Application,TT 應用程式,TT 应用程式,Ứng dụng TT,
app_center,Applications,應用中心,应用中心,Ứng dụng,
sort,Sort,排序,排序,Sắp xếp,
video,Video,視頻,視頻,,
popularity,Popularity,人氣,人氣,,
recommended,Recommended,熱門推薦,熱門推薦,,
everbody_playing,Playing,大家都在玩,大家都在玩,,
filter,Filter,篩選,篩選,,
long_video,Videos,長視頻,長視頻,,
short_video,Reels,短視頻,短視頻,,
member_login,Login,會員登入,會員登入,,
account_password_login,Login,帳號密碼登入,帳號密碼登入,,
account,Account,帳號,帳號,,
please_enter_your_account_number,Please enter your account number,請輸入帳號,請輸入帳號,,
password,Password,密碼,密碼,,
please_enter_your_password,Please enter your password,請輸入密碼,請輸入密碼,,
no_account_yet,No account yet.,還沒有帳號,還沒有帳號,,
login_with_phone_number,Login with phone number,手機號登入,手機號登入,,
newest,Newest,最新,最新,,
hottest,Hottest,最熱,最熱,,
register,Register,會員註冊,會員註冊,,
account_password_registration,Account Password Registration,帳號密碼註冊,帳號密碼註冊,,
verify_password,Verify Password,驗證密碼,驗證密碼,,
please_enter_the_verification_password,Please enter the verification password,請輸入驗證密碼,請輸入驗證密碼,,
search_for,Search,搜索,搜索,,
promotional_card_has_been_successfully_saved,Promotional card has been successfully saved.,已成功保存推廣卡,已成功保存推廣卡,,
promotional_share,Promotional Share,推廣分享,推廣分享,,
promotion_record,Promotion Record,推廣紀錄,推廣紀錄,,
count_person_promotion,-person promotion,人推廣,人推廣,,
promoted,Promoted,已推廣,已推廣,,
invitation_code,Invitation Code,邀請碼,邀請碼,,
copy_and_share,Copy & Share,複製分享,複製分享,,
successfully_copied,Successfully copied.,複製成功,複製成功,,
screen_short_share,Screen Shots Share,截圖分享,截圖分享,,
same_tag,Same Tag,同標籤,同標籤,,
no_related_video_and_guess_you_like,"No any related videos, Guess you'll like..,",找不到相關影片，猜您也會喜歡,找不到相關影片，猜您也會喜歡,,
download_now,Download Now,立刻下載,立刻下載,,
id_card,ID Card,身份卡,身份卡,,
online_customer_service,Online Customer Service,在線客服,在線客服,,
more,More,更多,更多,,
discover,Discover,探索更多內容,探索更多內容,,
input_abnormal,Input Abnormal,輸入異常,輸入異常,,
please_reload,Please reload,請重新加載,請重新加載,,
actor,Actor,演員,演員,,
browse_history,Browse History,我的足跡,我的足跡,,
like_playlist,Like Playlist,我的喜歡,我的喜歡,,
collect_playlist,Collect Playlist,我的收藏,我的收藏,,
count_likes,Likes,個讚數,個讚數,,
member_id,Member ID,用戶ID,用戶ID,,
member_center,Member center,會員中心,會員中心,,
search_record,Search record,搜索紀錄,搜索紀錄,,
search_recommendation,Search Recommendation,搜索推薦,搜索推薦,,
popular_recommendation,Popular Recommendation,熱門推薦,熱門推薦,,
coming_soon,Coming soon,精彩即將呈現,精彩即將呈現,,
upgrade_to_vip_for_unlimited_movie,Open VIP for unlimited movie watching,開通 VIP 無限看片,開通 VIP 無限看片,,
upgrade_now,Upgrade Now,立即升級,立即升級,,
not_enough,Not enough,看不過癮,看不過癮,,
unlock_now,Unlock Now,立即解鎖,立即解鎖,,
screen_is_locked,Screen is locked,螢幕已鎖定,螢幕已鎖定,,
screen_is_unlocked,Screen is unlocked,螢幕已解鎖,螢幕已解鎖,,
same_actor,Same actor,同演員,同演員,,
highlights,Highlights,選集,選集,,
insufficient_gold_balance,Insufficient Gold Balance,金幣餘額不足,金幣餘額不足,,
purchase_failed,Purchase Failed,購買失敗,購買失敗,,
go_to_top_up_now_for_full_exp,Go to Top Up now to get the full experience!,請立即前往充值已獲得最完整的體驗,請立即前往充值已獲得最完整的體驗,,
go_to_top_up,Go to Top Up,前往充值,前往充值,,
confirm,Confirm,確認,確認,,
cancel,Cancel,取消,取消,,
press_like_it_if_you_like_it,Press Like it if you like it.,喜歡就點讚,喜歡就點讚,,
add_to_favorites,Add to Favorites,添加到收藏,添加到收藏,,
this_movie_is_available_for_purchase,End of Trial. This movie is available for purchase.,試看結束，此影片需付費購買,試看結束，此影片需付費購買,,
price,Price,價格,價格,,
coins,Coins,金幣,金幣,,
your_current_coins,Your current coins,您目前擁有的金幣,您目前擁有的金幣,,
pay_to_watch,Pay to watch,付費觀看,付費觀看,,
end_of_Trial_upgrade_to_full_version,"End of Trial, Upgrade to Full Version",試看結束，升級觀看完整版,試看結束，升級觀看完整版,,
length_of_film,Length,片長,片長,,
unlocked_for_full_playback,Unlocked for full playback,解鎖後可完整播放,解鎖後可完整播放,,
upgrade_now_for_unlock,Upgrade Now For Unlock,立即升級解鎖,立即升級解鎖,,
count_gold_coins_to_unlock,coins to unlock,金幣解鎖,金幣解鎖,,
enter_now,Enter Now,立即進入,立即進入,,
count_down,wait..,倒數,倒數,,
forgot_password,Forgot password,忘記密碼,忘記密碼,,
contact_customer_service,Contact Customer Service,請聯繫客服人員,請聯繫客服人員,,
retrieve_password,Retrieve Password,找回密碼,找回密碼,,
forgot,Forgot?,忘記了?,忘記了?,,
for_account_retrieval,"For account retrieval, please keep it in a safe place and do not disclose it.",用於找回帳號，請妥善保存，請勿洩露,用於找回帳號，請妥善保存，請勿洩露,,
identity_card_has_been_successfully_saved,Identity card has been successfully saved,已成功保存身份卡,已成功保存身份卡,,
